Name,ECLP time,ECLP nodes,ECLP cost,ALL time,ALL nodes,ALL cost,GOOD RF time,GOOD RF nodes,GOOD RF cost,GOOD NN time,GOOD NN nodes,GOOD NN cost,RAND70 time,RAND70 nodes,RAND70 cost,RAND50 time,RAND50 nodes,RAND50 cost
netgen22-5-10_maxregret,3600,5117854,_17203694,3600,2851905,_17411471,3600,3258641,_17411473,3600,3075610,_17411474,3600,3596268,_17411324,3600,3411989,_17411174
netgen22-5-11_maxregret,28.430614271,32304,288,15.32329181,12523,288,14.03615022,11722,288,17.897421186,15718,288,32.452087571,28068,288,26.191345637,22069,288
netgen22-5-12_maxregret,17.724625068,23264,307,8.691985624,7256,307,7.953945114,7676,307,8.292417581,7662,307,16.287067507,15649,307,12.869798601,12390,307
netgen22-5-13_maxregret,184.594525175,172141,266,115.987326462,68009,266,110.100621807,71341,266,109.897804102,68756,266,174.274275389,120037,266,168.023209768,109628,266
netgen22-5-14_maxregret,3600,4420126,_17203563,3600,2890927,_17411522,3600,2988222,_17411524,3600,2946268,_17411525,3600,3363530,_17411225,3600,3177415,_17411225
netgen22-5-15_maxregret,54.726980643,61427,306,34.655560266,27085,306,29.312303495,23323,306,29.350358498,22824,306,53.709269473,46588,306,46.936024815,37570,306
netgen22-5-16_maxregret,365.51884824,422921,318,201.22147695,157228,319,260.163331388,202716,319,223.580713229,179751,319,485.726909462,419496,319,401.082613329,331759,319
netgen22-5-1_maxregret,3600,4100214,_17203604,157.288839354,146801,361,175.903795142,169636,361,145.807094781,132277,361,3600,3192871,_17410791,46.050305926,41160,361
netgen22-5-2_maxregret,3600,4448535,_17203644,2097.130629141,1522582,310,2211.20913132,1812225,310,2101.242857405,1621865,310,3600,3199057,_17410495,3600,3010056,_17410644
netgen22-5-3_maxregret,3600,5938504,_17203815,3600,3239735,_17411671,3600,3582661,_17411673,3600,3559241,_17411674,3600,4026093,_17411523,3600,3806730,_17411523
netgen22-5-4_maxregret,151.580980599,149725,332,66.027570622,41158,332,59.567285656,43118,332,59.809784862,42750,332,108.638385714,80203,332,94.375748357,66461,332
netgen22-5-5_maxregret,3600,4768647,_17203476,172.484318491,153892,311,189.136736375,177623,311,182.686296353,172882,311,3600,3566089,_17410636,3600,3361987,_17410636
netgen22-5-6_maxregret,29.610613531,29722,316,16.848973367,8570,316,17.378314676,10268,316,18.03540719,10287,316,28.858532338,20586,316,28.394955044,17568,316
netgen22-5-7_maxregret,105.59667483,115776,354,57.315725343,36760,354,60.450727046,41474,354,55.901682491,39329,354,94.126014897,79643,354,92.47514153,66155,354
netgen22-5-8_maxregret,429.318675426,561864,291,240.833009075,210215,291,236.586046028,227693,291,238.072467977,225734,291,433.575858558,420890,291,351.61732377,335279,291
netgen22-5-9_maxregret,389.815078635,408392,330,162.647701626,105610,330,160.663681428,115288,330,159.516035603,115480,330,303.734873335,239015,330,247.072403997,184206,330
netgen23-2-10_maxregret,3600,6982490,_17974634,3600,3784551,_18223807,3600,4016725,_18223656,3600,3870354,_18223657,3600,5106148,_18223504,3600,4464396,_18223504
netgen23-2-11_maxregret,3600,7004902,_17984988,3600,4080744,_18221706,3600,4511603,_18221403,3600,4427592,_18221556,3600,5312241,_18221556,3600,4626110,_18221556
netgen23-2-12_maxregret,3600,6222109,_17974649,3600,3148429,_18223632,3600,3399643,_18223634,3600,3392445,_18223480,3600,4410576,_18223482,3600,4153652,_18223482
netgen23-2-13_maxregret,3600,4761900,_17974569,3600,2440730,_18222873,3600,2746525,_18222722,3600,2592717,_18222723,3600,3301329,_18222570,3600,2957930,_18222723
netgen23-2-14_maxregret,3600,6272929,_17974637,3600,3636553,_18223592,3600,3988163,_18223441,3600,3894428,_18223442,3600,4839266,_18223289,3600,4131364,_18223289
netgen23-2-15_maxregret,3600,7620873,_17974671,3600,4156186,_18223957,3600,4506214,_18223806,3600,4399567,_18223807,3600,5313895,_18223654,3600,4882893,_18223806
netgen23-2-16_maxregret,2316.93800939,2909658,123,1253.042501379,923716,123,1153.569095779,946324,123,1141.717467441,936888,123,2019.089056343,1868220,123,1574.628350957,1330663,123
netgen23-2-1_maxregret,3600,7263796,_17974623,3600,3732127,_18222052,3600,4249970,_18221901,3600,4352755,_18221902,3600,4944693,_18221901,3600,4460908,_18221901
netgen23-2-2_maxregret,3600,6174797,_17986768,3600,3699346,_18224208,3600,4107689,_18223905,3600,3842163,_18224058,3600,4579649,_18223905,3600,4403283,_18224210
netgen23-2-3_maxregret,3600,6424292,_17974671,3600,3415446,_18223877,3600,3855271,_18223726,3600,3817722,_18223727,3600,4761285,_18223727,3600,3937413,_18223727
netgen23-2-4_maxregret,122.160071124,114572,198,116.131684917,68492,198,102.1707807,68710,198,102.464927696,69338,198,134.296047008,96084,198,130.113923239,89341,198
netgen23-2-5_maxregret,3600,6887558,_17974669,3600,3402974,_18223664,3600,3848492,_18223513,3600,3759915,_18223514,3600,4654365,_18223513,3600,4390747,_18223514
netgen23-2-6_maxregret,3600,7289392,_17985814,3600,3676262,_18222207,3600,4039680,_18221904,3600,3934112,_18222057,3600,5152945,_18222057,3600,4326516,_18222209
netgen23-2-7_maxregret,3600,5934872,_17974610,3600,3400330,_18223480,3600,3637419,_18223482,3600,3484415,_18223483,3600,4166971,_18223177,3600,4016754,_18223482
netgen23-2-8_maxregret,3600,4198283,_17974591,3600,2427227,_18222023,2977.935120367,2370382,147,3027.304956869,2366255,147,3600,3207008,_18221720,3600,2989608,_18221873
netgen23-2-9_maxregret,3600,6947555,_17974681,3600,3549654,_18222702,3600,3873437,_18222551,3600,3885141,_18222552,3600,4797465,_18222399,3600,4406024,_18222704
netgen24-5-10_maxregret,3600,5037925,_18757312,3600,2920254,_19038855,3600,3182809,_19038701,3600,3004116,_19038858,3600,3846313,_19038857,3600,3411586,_19038546
netgen24-5-11_maxregret,11.541050203,16418,285,6.906123587,5864,285,6.550482947,6146,285,6.933639458,5883,285,11.969773536,11940,285,20.876641011,22217,285
netgen24-5-12_maxregret,35.368575058,46070,311,16.758715963,13593,311,15.605440832,14359,311,17.254710947,14188,311,29.604096942,30550,311,27.004749656,25704,311
netgen24-5-13_maxregret,2156.43349537,1949242,314,1301.390127339,745022,314,1333.635664854,827196,314,1405.43343635,832620,314,2207.899843217,1490301,314,1783.902792393,1140369,314
netgen24-5-14_maxregret,3600,4483311,_18757320,3600,2765140,_19039387,3600,2957813,_19039389,3600,2925707,_19039390,3600,3381118,_19039233,3600,3228616,_19039234
netgen24-5-15_maxregret,118.831516345,127211,304,55.81616765,36897,304,78.28973101,56819,304,87.118576462,56984,304,95.002970904,78844,304,113.310546291,89173,304
netgen24-5-16_maxregret,1143.31335462,1624454,339,366.395696832,320642,339,646.143646051,596316,339,540.443130591,500210,339,1118.78852193,1207109,339,721.321194648,740613,339
netgen24-5-1_maxregret,3600,4809528,_18757292,3600,2940241,_19038592,3600,3013780,_19038594,3600,3326089,_19038595,3600,3620366,_19038439,3600,3421169,_19038594
netgen24-5-2_maxregret,887.484270081,1087048,308,414.472204599,343574,308,457.804498119,399899,308,554.568951689,451888,308,762.56931579,771920,308,680.263319769,632587,308
netgen24-5-3_maxregret,3600,6611542,_18757313,3600,3075723,_19039219,3600,3385494,_19039221,3600,3274326,_19039222,3600,4492007,_19038910,3600,3942785,_19039221
netgen24-5-4_maxregret,165.677942028,141504,336,75.247141483,41329,336,68.247411224,42726,336,72.701196492,42336,336,117.30838473,77404,336,140.937025833,87474,336
netgen24-5-5_maxregret,1364.594245087,1347928,307,577.883382934,411364,307,583.646713921,451342,307,613.664461853,445904,307,1046.661561653,873146,307,1022.37960471,816513,307
